,Activity,Microphone Number,Source ID,Time,Time In Seconds,Timestamp,X,Y,Z
0,0.985,0,1,"Wednesday, January 08, 2020 07:10:17",1578539417.445496,1807.0,-0.066,0.021,0.998
0,0.997,0,1,"Wednesday, January 08, 2020 07:10:17",1578539417.4534948,1808.0,-0.066,0.021,0.998
0,0.647,0,1,"Wednesday, January 08, 2020 07:10:17",1578539417.4614933,1809.0,-0.066,0.021,0.998
0,0.995,0,1,"Wednesday, January 08, 2020 07:10:17",1578539417.469492,1810.0,-0.066,0.021,0.998
0,0.987,0,1,"Wednesday, January 08, 2020 07:10:17",1578539417.4774907,1811.0,-0.066,0.021,0.998
0,0.968,0,1,"Wednesday, January 08, 2020 07:10:17",1578539417.4854891,1812.0,-0.066,0.021,0.998
0,0.991,0,1,"Wednesday, January 08, 2020 07:10:17",1578539417.4934878,1813.0,-0.066,0.021,0.998
0,0.987,0,1,"Wednesday, January 08, 2020 07:10:17",1578539417.5014863,1814.0,-0.066,0.021,0.998
0,0.849,0,1,"Wednesday, January 08, 2020 07:10:17",1578539417.509485,1815.0,-0.066,0.021,0.998
0,0.987,0,1,"Wednesday, January 08, 2020 07:10:17",1578539417.5174837,1816.0,-0.066,0.021,0.998
0,0.982,0,1,"Wednesday, January 08, 2020 07:10:17",1578539417.5254822,1817.0,-0.066,0.021,0.998
0,0.987,0,1,"Wednesday, January 08, 2020 07:10:17",1578539417.533481,1818.0,-0.066,0.021,0.998
0,0.968,0,1,"Wednesday, January 08, 2020 07:10:17",1578539417.5414793,1819.0,-0.066,0.021,0.998
0,0.994,0,1,"Wednesday, January 08, 2020 07:10:17",1578539417.549478,1820.0,-0.066,0.021,0.998
0,0.985,0,1,"Wednesday, January 08, 2020 07:10:17",1578539417.5574768,1821.0,-0.066,0.021,0.998
0,0.921,0,1,"Wednesday, January 08, 2020 07:10:17",1578539417.5654752,1822.0,-0.066,0.021,0.998
