,Activity,Microphone Number,Source ID,Time,Time In Seconds,Timestamp,X,Y,Z
0,0.958,0,5,"Wednesday, January 08, 2020 02:19:08",1578478748.201686,30652.0,0.066,0.021,0.998
0,0.766,0,5,"Wednesday, January 08, 2020 02:19:08",1578478748.2096858,30653.0,0.066,0.021,0.998
0,0.791,0,5,"Wednesday, January 08, 2020 02:19:08",1578478748.2176855,30654.0,0.066,0.021,0.998
0,0.827,0,5,"Wednesday, January 08, 2020 02:19:08",1578478748.2256854,30655.0,0.066,0.021,0.998
0,0.737,0,5,"Wednesday, January 08, 2020 02:19:08",1578478748.2336853,30656.0,0.066,0.021,0.998
0,0.611,0,5,"Wednesday, January 08, 2020 02:19:08",1578478748.241685,30657.0,0.066,0.021,0.998
0,0.214,0,5,"Wednesday, January 08, 2020 02:19:08",1578478748.2496848,30658.0,0.066,0.021,0.998
0,0.39,0,5,"Wednesday, January 08, 2020 02:19:08",1578478748.2576845,30659.0,0.066,0.021,0.998
0,0.218,0,5,"Wednesday, January 08, 2020 02:19:08",1578478748.2656844,30660.0,0.066,0.021,0.998
0,0.218,0,5,"Wednesday, January 08, 2020 02:19:08",1578478748.273684,30661.0,0.066,0.021,0.998
0,0.209,0,5,"Wednesday, January 08, 2020 02:19:08",1578478748.281684,30662.0,0.066,0.021,0.998
0,1.0,0,5,"Wednesday, January 08, 2020 02:19:08",1578478748.2896838,30663.0,0.066,0.021,0.998
0,0.795,0,5,"Wednesday, January 08, 2020 02:19:08",1578478748.2976835,30664.0,0.066,0.021,0.998
0,0.379,0,5,"Wednesday, January 08, 2020 02:19:08",1578478748.3056834,30665.0,0.066,0.021,0.998
0,0.326,0,5,"Wednesday, January 08, 2020 02:19:08",1578478748.313683,30666.0,0.066,0.021,0.998
0,0.805,0,5,"Wednesday, January 08, 2020 02:19:08",1578478748.321683,30667.0,0.066,0.021,0.998
0,0.387,0,5,"Wednesday, January 08, 2020 02:19:08",1578478748.3296826,30668.0,0.066,0.021,0.998
0,0.757,0,5,"Wednesday, January 08, 2020 02:19:08",1578478748.3376825,30669.0,0.066,0.021,0.998
0,0.699,0,5,"Wednesday, January 08, 2020 02:19:08",1578478748.3456824,30670.0,0.066,0.021,0.998
0,0.38,0,5,"Wednesday, January 08, 2020 02:19:08",1578478748.353682,30671.0,0.066,0.021,0.998
0,0.619,0,5,"Wednesday, January 08, 2020 02:19:08",1578478748.361682,30672.0,0.066,0.021,0.998
0,0.426,0,5,"Wednesday, January 08, 2020 02:19:08",1578478748.3696816,30673.0,0.066,0.021,0.998
0,0.452,0,5,"Wednesday, January 08, 2020 02:19:08",1578478748.3776815,30674.0,0.066,0.021,0.998
0,0.341,0,5,"Wednesday, January 08, 2020 02:19:08",1578478748.3856812,30675.0,0.066,0.021,0.998
0,0.616,0,5,"Wednesday, January 08, 2020 02:19:08",1578478748.393681,30676.0,0.066,0.021,0.998
0,0.593,0,5,"Wednesday, January 08, 2020 02:19:08",1578478748.4016807,30677.0,0.066,0.021,0.998
0,0.496,0,5,"Wednesday, January 08, 2020 02:19:08",1578478748.4096806,30678.0,0.066,0.021,0.998
0,0.127,0,5,"Wednesday, January 08, 2020 02:19:08",1578478748.4176805,30679.0,0.066,0.021,0.998
0,0.312,0,5,"Wednesday, January 08, 2020 02:19:08",1578478748.4256802,30680.0,0.066,0.021,0.998
0,0.457,0,5,"Wednesday, January 08, 2020 02:19:08",1578478748.43368,30681.0,0.066,0.021,0.998
0,0.349,0,5,"Wednesday, January 08, 2020 02:19:08",1578478748.4416797,30682.0,0.066,0.021,0.998
0,0.216,0,5,"Wednesday, January 08, 2020 02:19:08",1578478748.4496796,30683.0,0.066,0.021,0.998
0,0.396,0,5,"Wednesday, January 08, 2020 02:19:08",1578478748.4576793,30684.0,0.066,0.021,0.998
0,0.625,0,5,"Wednesday, January 08, 2020 02:19:08",1578478748.4656792,30685.0,0.066,0.021,0.998
0,0.466,0,5,"Wednesday, January 08, 2020 02:19:08",1578478748.473679,30686.0,0.066,0.021,0.998
0,0.81,0,5,"Wednesday, January 08, 2020 02:19:08",1578478748.4816787,30687.0,0.066,0.021,0.998
0,0.744,0,5,"Wednesday, January 08, 2020 02:19:08",1578478748.4896786,30688.0,0.066,0.021,0.998
0,0.78,0,5,"Wednesday, January 08, 2020 02:19:08",1578478748.4976783,30689.0,0.066,0.021,0.998
0,0.291,0,5,"Wednesday, January 08, 2020 02:19:08",1578478748.5056782,30690.0,0.066,0.021,0.998
0,0.517,0,5,"Wednesday, January 08, 2020 02:19:08",1578478748.5136778,30691.0,0.066,0.021,0.998
0,0.992,0,5,"Wednesday, January 08, 2020 02:19:08",1578478748.5216777,30692.0,0.066,0.021,0.998
0,0.694,0,5,"Wednesday, January 08, 2020 02:19:08",1578478748.5296776,30693.0,0.066,0.021,0.998
0,0.678,0,5,"Wednesday, January 08, 2020 02:19:08",1578478748.5376773,30694.0,0.066,0.021,0.998
0,0.67,0,5,"Wednesday, January 08, 2020 02:19:08",1578478748.5456772,30695.0,0.066,0.021,0.998
0,0.913,0,5,"Wednesday, January 08, 2020 02:19:08",1578478748.5536768,30696.0,0.066,0.021,0.998
0,0.445,0,5,"Wednesday, January 08, 2020 02:19:08",1578478748.5616767,30697.0,0.066,0.021,0.998
0,0.058,0,5,"Wednesday, January 08, 2020 02:19:08",1578478748.5696764,30698.0,0.066,0.021,0.998
0,0.596,0,5,"Wednesday, January 08, 2020 02:19:08",1578478748.5776763,30699.0,0.065,0.021,0.998
0,0.43,0,5,"Wednesday, January 08, 2020 02:19:08",1578478748.5856762,30700.0,0.065,0.021,0.998
0,0.378,0,5,"Wednesday, January 08, 2020 02:19:08",1578478748.5936759,30701.0,0.065,0.021,0.998
0,0.254,0,5,"Wednesday, January 08, 2020 02:19:08",1578478748.6016757,30702.0,0.065,0.021,0.998
0,0.321,0,5,"Wednesday, January 08, 2020 02:19:08",1578478748.6096754,30703.0,0.065,0.021,0.998
0,0.799,0,5,"Wednesday, January 08, 2020 02:19:08",1578478748.6176753,30704.0,0.065,0.021,0.998
0,0.391,0,5,"Wednesday, January 08, 2020 02:19:08",1578478748.625675,30705.0,0.065,0.021,0.998
0,0.761,0,5,"Wednesday, January 08, 2020 02:19:08",1578478748.6336749,30706.0,0.065,0.021,0.998
0,0.808,0,5,"Wednesday, January 08, 2020 02:19:08",1578478748.6416748,30707.0,0.065,0.021,0.998
0,0.021,0,5,"Wednesday, January 08, 2020 02:19:08",1578478748.6496744,30708.0,0.065,0.021,0.998
0,0.613,0,5,"Wednesday, January 08, 2020 02:19:08",1578478748.6576743,30709.0,0.065,0.021,0.998
0,0.629,0,5,"Wednesday, January 08, 2020 02:19:08",1578478748.665674,30710.0,0.065,0.021,0.998
0,0.675,0,5,"Wednesday, January 08, 2020 02:19:08",1578478748.6736739,30711.0,0.065,0.021,0.998
0,0.533,0,5,"Wednesday, January 08, 2020 02:19:08",1578478748.6816735,30712.0,0.065,0.021,0.998
0,0.168,0,5,"Wednesday, January 08, 2020 02:19:08",1578478748.6896734,30713.0,0.065,0.021,0.998
0,0.429,0,5,"Wednesday, January 08, 2020 02:19:08",1578478748.697673,30714.0,0.065,0.021,0.998
0,0.192,0,5,"Wednesday, January 08, 2020 02:19:08",1578478748.705673,30715.0,0.065,0.021,0.998
0,0.141,0,5,"Wednesday, January 08, 2020 02:19:08",1578478748.7136729,30716.0,0.065,0.021,0.998
0,0.251,0,5,"Wednesday, January 08, 2020 02:19:08",1578478748.7216725,30717.0,0.065,0.021,0.998
0,0.203,0,5,"Wednesday, January 08, 2020 02:19:08",1578478748.7296724,30718.0,0.065,0.021,0.998
0,0.233,0,5,"Wednesday, January 08, 2020 02:19:08",1578478748.737672,30719.0,0.065,0.021,0.998
0,0.319,0,5,"Wednesday, January 08, 2020 02:19:08",1578478748.745672,30720.0,0.065,0.021,0.998
0,0.297,0,5,"Wednesday, January 08, 2020 02:19:08",1578478748.7536716,30721.0,0.065,0.021,0.998
0,0.452,0,5,"Wednesday, January 08, 2020 02:19:08",1578478748.7616715,30722.0,0.065,0.021,0.998
0,0.108,0,5,"Wednesday, January 08, 2020 02:19:08",1578478748.7696714,30723.0,0.065,0.021,0.998
0,0.011,0,5,"Wednesday, January 08, 2020 02:19:08",1578478748.777671,30724.0,0.065,0.021,0.998
0,0.65,0,5,"Wednesday, January 08, 2020 02:19:08",1578478748.785671,30725.0,0.065,0.021,0.998
0,0.28,0,5,"Wednesday, January 08, 2020 02:19:08",1578478748.7936707,30726.0,0.065,0.021,0.998
0,0.498,0,5,"Wednesday, January 08, 2020 02:19:08",1578478748.8016706,30727.0,0.065,0.021,0.998
0,0.229,0,5,"Wednesday, January 08, 2020 02:19:08",1578478748.8096702,30728.0,0.065,0.021,0.998
0,0.041,0,5,"Wednesday, January 08, 2020 02:19:08",1578478748.81767,30729.0,0.065,0.021,0.998
0,0.397,0,5,"Wednesday, January 08, 2020 02:19:08",1578478748.82567,30730.0,0.065,0.021,0.998
0,0.478,0,5,"Wednesday, January 08, 2020 02:19:08",1578478748.8336697,30731.0,0.065,0.021,0.998
0,0.118,0,5,"Wednesday, January 08, 2020 02:19:08",1578478748.8416696,30732.0,0.065,0.021,0.998
0,0.194,0,5,"Wednesday, January 08, 2020 02:19:08",1578478748.8496692,30733.0,0.065,0.021,0.998
0,0.094,0,5,"Wednesday, January 08, 2020 02:19:08",1578478748.857669,30734.0,0.065,0.021,0.998
0,0.237,0,5,"Wednesday, January 08, 2020 02:19:08",1578478748.8656688,30735.0,0.065,0.021,0.998
0,0.133,0,5,"Wednesday, January 08, 2020 02:19:08",1578478748.8736687,30736.0,0.065,0.021,0.998
0,0.23,0,5,"Wednesday, January 08, 2020 02:19:08",1578478748.8816686,30737.0,0.065,0.021,0.998
0,0.078,0,5,"Wednesday, January 08, 2020 02:19:08",1578478748.8896682,30738.0,0.065,0.021,0.998
0,0.268,0,5,"Wednesday, January 08, 2020 02:19:08",1578478748.8976681,30739.0,0.065,0.021,0.998
0,0.025,0,5,"Wednesday, January 08, 2020 02:19:08",1578478748.9056678,30740.0,0.065,0.021,0.998
0,0.116,0,5,"Wednesday, January 08, 2020 02:19:08",1578478748.9136677,30741.0,0.065,0.021,0.998
0,0.47,0,5,"Wednesday, January 08, 2020 02:19:08",1578478748.9216673,30742.0,0.065,0.021,0.998
0,0.474,0,5,"Wednesday, January 08, 2020 02:19:08",1578478748.9296672,30743.0,0.065,0.021,0.998
0,0.614,0,5,"Wednesday, January 08, 2020 02:19:08",1578478748.9376671,30744.0,0.065,0.021,0.998
0,0.128,0,5,"Wednesday, January 08, 2020 02:19:08",1578478748.9456668,30745.0,0.065,0.021,0.998
0,0.059,0,5,"Wednesday, January 08, 2020 02:19:08",1578478748.9536667,30746.0,0.065,0.021,0.998
0,0.224,0,5,"Wednesday, January 08, 2020 02:19:08",1578478748.9616663,30747.0,0.065,0.021,0.998
0,0.138,0,5,"Wednesday, January 08, 2020 02:19:08",1578478748.9696662,30748.0,0.065,0.021,0.998
0,0.231,0,5,"Wednesday, January 08, 2020 02:19:08",1578478748.977666,30749.0,0.065,0.021,0.998
0,0.516,0,5,"Wednesday, January 08, 2020 02:19:08",1578478748.9856658,30750.0,0.065,0.021,0.998
0,0.292,0,5,"Wednesday, January 08, 2020 02:19:08",1578478748.9936657,30751.0,0.064,0.021,0.998
0,0.427,0,5,"Wednesday, January 08, 2020 02:19:09",1578478749.0016654,30752.0,0.064,0.021,0.998
0,0.014,0,5,"Wednesday, January 08, 2020 02:19:09",1578478749.0096653,30753.0,0.064,0.021,0.998
0,0.159,0,5,"Wednesday, January 08, 2020 02:19:09",1578478749.017665,30754.0,0.064,0.021,0.998
0,0.14,0,5,"Wednesday, January 08, 2020 02:19:09",1578478749.0256648,30755.0,0.064,0.021,0.998
0,0.073,0,5,"Wednesday, January 08, 2020 02:19:09",1578478749.0336645,30756.0,0.064,0.021,0.998
0,0.383,0,5,"Wednesday, January 08, 2020 02:19:09",1578478749.0416644,30757.0,0.064,0.021,0.998
0,0.145,0,5,"Wednesday, January 08, 2020 02:19:09",1578478749.049664,30758.0,0.064,0.021,0.998
0,0.515,0,5,"Wednesday, January 08, 2020 02:19:09",1578478749.057664,30759.0,0.064,0.021,0.998
0,0.611,0,5,"Wednesday, January 08, 2020 02:19:09",1578478749.0656638,30760.0,0.064,0.021,0.998
0,0.805,0,5,"Wednesday, January 08, 2020 02:19:09",1578478749.0736635,30761.0,0.064,0.021,0.998
0,0.216,0,5,"Wednesday, January 08, 2020 02:19:09",1578478749.0816634,30762.0,0.064,0.021,0.998
0,0.324,0,5,"Wednesday, January 08, 2020 02:19:09",1578478749.089663,30763.0,0.064,0.021,0.998
0,0.245,0,5,"Wednesday, January 08, 2020 02:19:09",1578478749.097663,30764.0,0.064,0.021,0.998
0,0.633,0,5,"Wednesday, January 08, 2020 02:19:09",1578478749.1056626,30765.0,0.064,0.021,0.998
0,0.074,0,5,"Wednesday, January 08, 2020 02:19:09",1578478749.1136625,30766.0,0.064,0.021,0.998
0,0.424,0,5,"Wednesday, January 08, 2020 02:19:09",1578478749.1216624,30767.0,0.064,0.021,0.998
0,0.119,0,5,"Wednesday, January 08, 2020 02:19:09",1578478749.129662,30768.0,0.064,0.021,0.998
0,0.861,0,5,"Wednesday, January 08, 2020 02:19:09",1578478749.137662,30769.0,0.063,0.021,0.998
0,0.334,0,5,"Wednesday, January 08, 2020 02:19:09",1578478749.1456616,30770.0,0.063,0.021,0.998
0,0.274,0,5,"Wednesday, January 08, 2020 02:19:09",1578478749.1536615,30771.0,0.063,0.021,0.998
0,0.013,0,5,"Wednesday, January 08, 2020 02:19:09",1578478749.1616611,30772.0,0.063,0.021,0.998
0,0.202,0,5,"Wednesday, January 08, 2020 02:19:09",1578478749.169661,30773.0,0.063,0.021,0.998
0,0.135,0,5,"Wednesday, January 08, 2020 02:19:09",1578478749.177661,30774.0,0.063,0.021,0.998
