,Activity,Microphone Number,Source ID,Time,Time In Seconds,Timestamp,X,Y,Z
0,0.885,0,100,"Wednesday, January 08, 2020 04:39:14",1578530354.1729202,31398.0,-0.0,0.0,1.0
0,0.297,0,100,"Wednesday, January 08, 2020 04:39:14",1578530354.1809201,31399.0,-0.0,0.0,1.0
0,0.525,0,100,"Wednesday, January 08, 2020 04:39:14",1578530354.18892,31400.0,-0.0,0.0,1.0
0,0.195,0,100,"Wednesday, January 08, 2020 04:39:14",1578530354.19692,31401.0,-0.0,0.0,1.0
0,0.049,0,100,"Wednesday, January 08, 2020 04:39:14",1578530354.2049198,31402.0,-0.0,0.0,1.0
0,0.114,0,100,"Wednesday, January 08, 2020 04:39:14",1578530354.2129197,31403.0,-0.0,0.0,1.0
0,0.495,0,100,"Wednesday, January 08, 2020 04:39:14",1578530354.2209196,31404.0,-0.0,0.0,1.0
0,0.545,0,100,"Wednesday, January 08, 2020 04:39:14",1578530354.2289197,31405.0,-0.0,0.0,1.0
0,0.998,0,100,"Wednesday, January 08, 2020 04:39:14",1578530354.2369196,31406.0,-0.0,0.0,1.0
0,0.108,0,100,"Wednesday, January 08, 2020 04:39:14",1578530354.2449195,31407.0,-0.0,0.0,1.0
0,0.105,0,100,"Wednesday, January 08, 2020 04:39:14",1578530354.2529194,31408.0,-0.0,0.0,1.0
0,0.999,0,100,"Wednesday, January 08, 2020 04:39:14",1578530354.2609193,31409.0,-0.0,0.0,1.0
0,0.639,0,100,"Wednesday, January 08, 2020 04:39:14",1578530354.2689192,31410.0,-0.0,0.0,1.0
0,0.555,0,100,"Wednesday, January 08, 2020 04:39:14",1578530354.2769191,31411.0,-0.0,0.0,1.0
0,0.317,0,100,"Wednesday, January 08, 2020 04:39:14",1578530354.284919,31412.0,-0.0,0.0,1.0
0,0.33,0,100,"Wednesday, January 08, 2020 04:39:14",1578530354.292919,31413.0,-0.0,0.0,1.0
0,0.251,0,100,"Wednesday, January 08, 2020 04:39:14",1578530354.3009188,31414.0,-0.0,0.0,1.0
0,0.015,0,100,"Wednesday, January 08, 2020 04:39:14",1578530354.3089187,31415.0,-0.0,0.0,1.0
0,0.268,0,100,"Wednesday, January 08, 2020 04:39:14",1578530354.3169186,31416.0,-0.0,0.0,1.0
0,0.393,0,100,"Wednesday, January 08, 2020 04:39:14",1578530354.3249185,31417.0,-0.0,0.0,1.0
0,0.022,0,100,"Wednesday, January 08, 2020 04:39:14",1578530354.3329184,31418.0,-0.0,0.0,1.0
0,0.336,0,100,"Wednesday, January 08, 2020 04:39:14",1578530354.3409183,31419.0,-0.0,0.0,1.0
