,Activity,Microphone Number,Source ID,Time,Time In Seconds,Timestamp,X,Y,Z
0,0.984,0,20,"Wednesday, January 08, 2020 03:12:01",1578525121.1659462,14771.0,-0.0,0.069,0.998
0,0.455,0,20,"Wednesday, January 08, 2020 03:12:01",1578525121.1739466,14772.0,-0.0,0.069,0.998
0,0.473,0,20,"Wednesday, January 08, 2020 03:12:01",1578525121.1819472,14773.0,-0.0,0.069,0.998
0,0.129,0,20,"Wednesday, January 08, 2020 03:12:01",1578525121.1899476,14774.0,-0.0,0.069,0.998
0,0.183,0,20,"Wednesday, January 08, 2020 03:12:01",1578525121.197948,14775.0,-0.0,0.069,0.998
0,0.455,0,20,"Wednesday, January 08, 2020 03:12:01",1578525121.2059484,14776.0,-0.0,0.069,0.998
0,0.537,0,20,"Wednesday, January 08, 2020 03:12:01",1578525121.2139487,14777.0,-0.0,0.069,0.998
0,0.014,0,20,"Wednesday, January 08, 2020 03:12:01",1578525121.221949,14778.0,-0.0,0.069,0.998
0,0.035,0,20,"Wednesday, January 08, 2020 03:12:01",1578525121.2299495,14779.0,-0.0,0.069,0.998
0,0.437,0,20,"Wednesday, January 08, 2020 03:12:01",1578525121.2379498,14780.0,-0.0,0.069,0.998
0,0.098,0,20,"Wednesday, January 08, 2020 03:12:01",1578525121.2459505,14781.0,-0.0,0.069,0.998
0,0.99,0,20,"Wednesday, January 08, 2020 03:12:01",1578525121.2539508,14782.0,-0.0,0.069,0.998
0,0.246,0,20,"Wednesday, January 08, 2020 03:12:01",1578525121.2619512,14783.0,-0.0,0.069,0.998
0,0.045,0,20,"Wednesday, January 08, 2020 03:12:01",1578525121.2699516,14784.0,-0.0,0.069,0.998
0,0.005,0,20,"Wednesday, January 08, 2020 03:12:01",1578525121.277952,14785.0,-0.0,0.069,0.998
0,0.075,0,20,"Wednesday, January 08, 2020 03:12:01",1578525121.2859523,14786.0,-0.0,0.069,0.998
0,0.401,0,20,"Wednesday, January 08, 2020 03:12:01",1578525121.2939527,14787.0,-0.0,0.069,0.998
0,0.399,0,20,"Wednesday, January 08, 2020 03:12:01",1578525121.301953,14788.0,-0.0,0.069,0.998
0,0.166,0,20,"Wednesday, January 08, 2020 03:12:01",1578525121.3099535,14789.0,-0.0,0.069,0.998
0,0.007,0,20,"Wednesday, January 08, 2020 03:12:01",1578525121.317954,14790.0,-0.0,0.069,0.998
0,0.142,0,20,"Wednesday, January 08, 2020 03:12:01",1578525121.3259544,14791.0,-0.0,0.069,0.998
0,0.497,0,20,"Wednesday, January 08, 2020 03:12:01",1578525121.3339548,14792.0,-0.0,0.069,0.998
0,0.251,0,20,"Wednesday, January 08, 2020 03:12:01",1578525121.3419552,14793.0,-0.0,0.069,0.998
0,0.271,0,20,"Wednesday, January 08, 2020 03:12:01",1578525121.3499556,14794.0,-0.0,0.069,0.998
0,0.078,0,20,"Wednesday, January 08, 2020 03:12:01",1578525121.357956,14795.0,-0.0,0.069,0.998
0,0.108,0,20,"Wednesday, January 08, 2020 03:12:01",1578525121.3659563,14796.0,-0.0,0.069,0.998
0,0.205,0,20,"Wednesday, January 08, 2020 03:12:01",1578525121.3739567,14797.0,-0.0,0.069,0.998
0,0.252,0,20,"Wednesday, January 08, 2020 03:12:01",1578525121.3819573,14798.0,-0.0,0.069,0.998
0,0.457,0,20,"Wednesday, January 08, 2020 03:12:01",1578525121.3899577,14799.0,-0.0,0.069,0.998
0,0.309,0,20,"Wednesday, January 08, 2020 03:12:01",1578525121.397958,14800.0,-0.0,0.069,0.998
0,0.736,0,20,"Wednesday, January 08, 2020 03:12:01",1578525121.4059584,14801.0,-0.0,0.069,0.998
0,0.005,0,20,"Wednesday, January 08, 2020 03:12:01",1578525121.4139588,14802.0,-0.0,0.069,0.998
0,0.409,0,20,"Wednesday, January 08, 2020 03:12:01",1578525121.4219592,14803.0,-0.0,0.069,0.998
0,0.246,0,20,"Wednesday, January 08, 2020 03:12:01",1578525121.4299595,14804.0,-0.0,0.069,0.998
0,0.809,0,20,"Wednesday, January 08, 2020 03:12:01",1578525121.43796,14805.0,-0.0,0.069,0.998
0,0.091,0,20,"Wednesday, January 08, 2020 03:12:01",1578525121.4459605,14806.0,-0.0,0.069,0.998
0,0.304,0,20,"Wednesday, January 08, 2020 03:12:01",1578525121.453961,14807.0,-0.0,0.069,0.998
0,0.0,0,20,"Wednesday, January 08, 2020 03:12:01",1578525121.4619613,14808.0,-0.0,0.069,0.998
0,0.35,0,20,"Wednesday, January 08, 2020 03:12:01",1578525121.4699616,14809.0,-0.0,0.069,0.998
0,0.079,0,20,"Wednesday, January 08, 2020 03:12:01",1578525121.477962,14810.0,-0.0,0.069,0.998
0,0.043,0,20,"Wednesday, January 08, 2020 03:12:01",1578525121.4859624,14811.0,-0.0,0.069,0.998
0,0.153,0,20,"Wednesday, January 08, 2020 03:12:01",1578525121.4939628,14812.0,-0.0,0.069,0.998
0,0.177,0,20,"Wednesday, January 08, 2020 03:12:01",1578525121.5019631,14813.0,-0.0,0.069,0.998
0,0.203,0,20,"Wednesday, January 08, 2020 03:12:01",1578525121.5099638,14814.0,-0.0,0.069,0.998
0,0.298,0,20,"Wednesday, January 08, 2020 03:12:01",1578525121.5179641,14815.0,-0.0,0.069,0.998
0,0.265,0,20,"Wednesday, January 08, 2020 03:12:01",1578525121.5259645,14816.0,-0.0,0.069,0.998
0,0.064,0,20,"Wednesday, January 08, 2020 03:12:01",1578525121.5339649,14817.0,-0.0,0.069,0.998
0,0.512,0,20,"Wednesday, January 08, 2020 03:12:01",1578525121.5419652,14818.0,-0.0,0.069,0.998
0,0.262,0,20,"Wednesday, January 08, 2020 03:12:01",1578525121.5499656,14819.0,-0.0,0.069,0.998
0,0.264,0,20,"Wednesday, January 08, 2020 03:12:01",1578525121.557966,14820.0,-0.0,0.069,0.998
0,0.486,0,20,"Wednesday, January 08, 2020 03:12:01",1578525121.5659664,14821.0,-0.0,0.069,0.998
0,0.013,0,20,"Wednesday, January 08, 2020 03:12:01",1578525121.5739667,14822.0,-0.0,0.069,0.998
