,Activity,Microphone Number,Source ID,Time,Time In Seconds,Timestamp,X,Y,Z
0,0.912,0,52,"Wednesday, January 08, 2020 05:13:43",1578532423.1486773,27513.0,-0.0,-0.0,1.0
0,0.16,0,52,"Wednesday, January 08, 2020 05:13:43",1578532423.1566794,27514.0,-0.0,-0.0,1.0
0,0.175,0,52,"Wednesday, January 08, 2020 05:13:43",1578532423.1646812,27515.0,-0.0,-0.0,1.0
0,0.222,0,52,"Wednesday, January 08, 2020 05:13:43",1578532423.172683,27516.0,-0.0,-0.0,1.0
0,0.255,0,52,"Wednesday, January 08, 2020 05:13:43",1578532423.180685,27517.0,-0.0,-0.0,1.0
0,0.377,0,52,"Wednesday, January 08, 2020 05:13:43",1578532423.1886868,27518.0,-0.0,-0.0,1.0
0,0.178,0,52,"Wednesday, January 08, 2020 05:13:43",1578532423.196689,27519.0,-0.0,-0.0,1.0
0,0.16,0,52,"Wednesday, January 08, 2020 05:13:43",1578532423.2046907,27520.0,-0.0,-0.0,1.0
0,0.143,0,52,"Wednesday, January 08, 2020 05:13:43",1578532423.2126927,27521.0,-0.0,-0.0,1.0
0,0.152,0,52,"Wednesday, January 08, 2020 05:13:43",1578532423.2206945,27522.0,-0.0,-0.0,1.0
0,0.095,0,52,"Wednesday, January 08, 2020 05:13:43",1578532423.2286966,27523.0,-0.0,-0.0,1.0
0,0.005,0,52,"Wednesday, January 08, 2020 05:13:43",1578532423.2366984,27524.0,-0.0,-0.0,1.0
0,0.417,0,52,"Wednesday, January 08, 2020 05:13:43",1578532423.2447004,27525.0,-0.0,-0.0,1.0
0,0.336,0,52,"Wednesday, January 08, 2020 05:13:43",1578532423.2527022,27526.0,-0.0,-0.0,1.0
0,0.231,0,52,"Wednesday, January 08, 2020 05:13:43",1578532423.2607043,27527.0,-0.0,-0.0,1.0
0,0.513,0,52,"Wednesday, January 08, 2020 05:13:43",1578532423.268706,27528.0,-0.0,-0.0,1.0
0,0.085,0,52,"Wednesday, January 08, 2020 05:13:43",1578532423.276708,27529.0,-0.0,-0.0,1.0
0,0.237,0,52,"Wednesday, January 08, 2020 05:13:43",1578532423.28471,27530.0,-0.0,-0.0,1.0
0,0.119,0,52,"Wednesday, January 08, 2020 05:13:43",1578532423.2927117,27531.0,-0.0,-0.0,1.0
0,0.091,0,52,"Wednesday, January 08, 2020 05:13:43",1578532423.3007138,27532.0,-0.0,-0.0,1.0
0,0.126,0,52,"Wednesday, January 08, 2020 05:13:43",1578532423.3087156,27533.0,-0.0,-0.0,1.0
0,0.629,0,52,"Wednesday, January 08, 2020 05:13:43",1578532423.3167176,27534.0,-0.0,-0.0,1.0
0,0.01,0,52,"Wednesday, January 08, 2020 05:13:43",1578532423.3247194,27535.0,-0.0,-0.0,1.0
0,0.16,0,52,"Wednesday, January 08, 2020 05:13:43",1578532423.3327215,27536.0,-0.0,-0.0,1.0
