,Activity,Microphone Number,Source ID,Time,Time In Seconds,Timestamp,X,Y,Z
0,0.996,0,2,"Wednesday, January 08, 2020 07:55:36",1578542136.0325913,4129.0,-0.066,0.021,0.998
0,0.638,0,2,"Wednesday, January 08, 2020 07:55:36",1578542136.0405934,4130.0,-0.066,0.021,0.998
0,0.985,0,2,"Wednesday, January 08, 2020 07:55:36",1578542136.0485954,4131.0,-0.066,0.021,0.998
0,0.98,0,2,"Wednesday, January 08, 2020 07:55:36",1578542136.0565975,4132.0,-0.066,0.021,0.998
0,0.986,0,2,"Wednesday, January 08, 2020 07:55:36",1578542136.0645998,4133.0,-0.066,0.021,0.998
0,0.985,0,2,"Wednesday, January 08, 2020 07:55:36",1578542136.0726018,4134.0,-0.066,0.021,0.998
0,0.991,0,2,"Wednesday, January 08, 2020 07:55:36",1578542136.0806038,4135.0,-0.066,0.021,0.998
0,0.872,0,2,"Wednesday, January 08, 2020 07:55:36",1578542136.0886059,4136.0,-0.066,0.021,0.998
0,0.841,0,2,"Wednesday, January 08, 2020 07:55:36",1578542136.096608,4137.0,-0.066,0.021,0.998
0,0.826,0,2,"Wednesday, January 08, 2020 07:55:36",1578542136.10461,4138.0,-0.066,0.021,0.998
0,0.967,0,2,"Wednesday, January 08, 2020 07:55:36",1578542136.1126122,4139.0,-0.066,0.021,0.998
0,0.954,0,2,"Wednesday, January 08, 2020 07:55:36",1578542136.1206143,4140.0,-0.066,0.021,0.998
0,0.952,0,2,"Wednesday, January 08, 2020 07:55:36",1578542136.1286163,4141.0,-0.066,0.021,0.998
0,0.977,0,2,"Wednesday, January 08, 2020 07:55:36",1578542136.1366184,4142.0,-0.066,0.021,0.998
0,0.946,0,2,"Wednesday, January 08, 2020 07:55:36",1578542136.1446204,4143.0,-0.066,0.021,0.998
0,0.887,0,2,"Wednesday, January 08, 2020 07:55:36",1578542136.1526225,4144.0,-0.066,0.021,0.998
0,0.968,0,2,"Wednesday, January 08, 2020 07:55:36",1578542136.1606247,4145.0,-0.066,0.021,0.998
0,0.951,0,2,"Wednesday, January 08, 2020 07:55:36",1578542136.1686268,4146.0,-0.066,0.021,0.998
0,0.936,0,2,"Wednesday, January 08, 2020 07:55:36",1578542136.1766288,4147.0,-0.066,0.021,0.998
0,0.979,0,2,"Wednesday, January 08, 2020 07:55:36",1578542136.1846309,4148.0,-0.066,0.021,0.998
0,0.939,0,2,"Wednesday, January 08, 2020 07:55:36",1578542136.192633,4149.0,-0.066,0.021,0.998
0,0.919,0,2,"Wednesday, January 08, 2020 07:55:36",1578542136.200635,4150.0,-0.066,0.021,0.998
0,0.948,0,2,"Wednesday, January 08, 2020 07:55:36",1578542136.2086372,4151.0,-0.066,0.021,0.998
