,Comb,Delay,Width,Sig
1.0,11,,0.0,
2.0,11,,0.0,
3.0,11,,0.0,
4.0,11,,0.0,
5.0,11,0.0,1.0,126.4911064067352
6.0,11,0.0,1.0,126.4911064067352
7.0,11,0.0,1.0,126.4911064067352
8.0,11,0.0,1.0,126.4911064067352
9.0,11,,0.0,
10.0,11,,0.0,
11.0,11,,0.0,
12.0,11,,0.0,
13.0,11,,0.0,
14.0,11,,0.0,
15.0,11,,0.0,
16.0,11,,0.0,
17.0,11,,0.0,
18.0,11,,0.0,
19.0,11,,0.0,
20.0,11,,0.0,
21.0,11,,0.0,
22.0,11,,0.0,
23.0,11,,0.0,
24.0,11,,0.0,
25.0,11,,0.0,
26.0,11,,0.0,
27.0,11,,0.0,
28.0,11,,0.0,
29.0,11,,0.0,
30.0,11,,0.0,
31.0,11,,0.0,
32.0,11,,0.0,
33.0,11,,0.0,
34.0,11,,0.0,
35.0,11,,0.0,
36.0,11,,0.0,
37.0,11,,0.0,
38.0,11,,0.0,
39.0,11,,0.0,
40.0,11,0.0,1.0,126.4911064067352
41.0,11,0.0,1.0,126.4911064067352
42.0,11,0.0,1.0,126.4911064067352
43.0,11,0.0,1.0,126.4911064067352
44.0,11,0.0,1.0,126.4911064067352
45.0,11,0.0,1.0,126.4911064067352
46.0,11,0.0,1.0,126.4911064067352
47.0,11,0.0,1.0,126.4911064067352
48.0,11,0.0,1.0,126.4911064067352
49.0,11,0.0,1.0,126.4911064067352
50.0,11,0.0,1.0,126.4911064067352
51.0,11,0.0,1.0,126.4911064067352
52.0,11,0.0,1.0,126.4911064067352
53.0,11,0.0,1.0,126.4911064067352
54.0,11,0.0,1.0,126.4911064067352
55.0,11,0.0,1.0,126.4911064067352
56.0,11,0.0,1.0,126.4911064067352
57.0,11,0.0,1.0,126.4911064067352
58.0,11,0.0,1.0,126.4911064067352
59.0,11,0.0,1.0,126.4911064067352
60.0,11,0.0,1.0,126.4911064067352
61.0,11,0.0,1.0,126.4911064067352
62.0,11,0.0,1.0,126.4911064067352
63.0,11,0.0,1.0,126.4911064067352
64.0,11,0.0,1.0,126.4911064067352
65.0,11,0.0,1.0,126.4911064067352
66.0,11,0.0,1.0,126.4911064067352
67.0,11,0.0,1.0,126.4911064067352
68.0,11,0.0,1.0,126.4911064067352
69.0,11,0.0,1.0,126.4911064067352
70.0,11,0.0,1.0,126.4911064067352
71.0,11,0.0,1.0,126.4911064067352
72.0,11,0.0,1.0,126.4911064067352
73.0,11,0.0,1.0,126.4911064067352
74.0,11,0.0,1.0,126.4911064067352
75.0,11,0.0,1.0,126.4911064067352
76.0,11,0.0,1.0,126.4911064067352
77.0,11,0.0,1.0,126.4911064067352
78.0,11,0.0,1.0,126.4911064067352
79.0,11,0.0,1.0,126.4911064067352
80.0,11,0.0,1.0,126.4911064067352
81.0,11,0.0,1.0,126.4911064067352
82.0,11,0.0,1.0,126.4911064067352
83.0,11,0.0,1.0,126.4911064067352
84.0,11,0.0,1.0,126.4911064067352
85.0,11,0.0,1.0,126.4911064067352
86.0,11,0.0,1.0,126.4911064067352
87.0,11,0.0,1.0,126.4911064067352
88.0,11,0.0,1.0,126.4911064067352
89.0,11,0.0,1.0,126.4911064067352
90.0,11,0.0,1.0,126.4911064067352
91.0,11,0.0,1.0,126.4911064067352
92.0,11,0.0,1.0,126.4911064067352
93.0,11,0.0,1.0,126.4911064067352
94.0,11,0.0,1.0,126.4911064067352
95.0,11,0.0,1.0,126.4911064067352
96.0,11,0.0,1.0,126.4911064067352
97.0,11,0.0,1.0,126.4911064067352
98.0,11,0.0,1.0,126.4911064067352
99.0,11,0.0,1.0,126.4911064067352
100.0,11,,0.0,
101.0,11,,0.0,
102.0,11,,0.0,
103.0,11,,0.0,
104.0,11,,0.0,
105.0,11,,0.0,
106.0,11,,0.0,
107.0,11,,0.0,
108.0,11,,0.0,
109.0,11,,0.0,
110.0,11,,0.0,
111.0,11,,0.0,
112.0,11,,0.0,
113.0,11,,0.0,
114.0,11,,0.0,
115.0,11,,0.0,
116.0,11,,0.0,
117.0,11,0.0,1.0,126.4911064067352
118.0,11,0.0,1.0,126.4911064067352
119.0,11,0.0,1.0,126.4911064067352
120.0,11,0.0,1.0,126.4911064067352
121.0,11,,0.0,
122.0,11,,0.0,
123.0,11,,0.0,
124.0,11,,0.0,
125.0,11,,0.0,
126.0,11,,0.0,
127.0,11,,0.0,
128.0,11,,0.0,
129.0,11,,0.0,
130.0,11,,0.0,
131.0,11,,0.0,
132.0,11,,0.0,
133.0,11,,0.0,
134.0,11,,0.0,
135.0,11,,0.0,
136.0,11,,0.0,
137.0,11,,0.0,
138.0,11,,0.0,
139.0,11,,0.0,
140.0,11,,0.0,
141.0,11,,0.0,
142.0,11,,0.0,
143.0,11,,0.0,
144.0,11,,0.0,
145.0,11,,0.0,
146.0,11,,0.0,
147.0,11,,0.0,
148.0,11,,0.0,
149.0,11,,0.0,
150.0,11,,0.0,
151.0,11,,0.0,
152.0,11,,0.0,
153.0,11,,0.0,
154.0,11,,0.0,
155.0,11,,0.0,
156.0,11,,0.0,
157.0,11,,0.0,
158.0,11,,0.0,
159.0,11,,0.0,
160.0,11,,0.0,
161.0,11,,0.0,
162.0,11,,0.0,
163.0,11,,0.0,
164.0,11,,0.0,
165.0,11,,0.0,
166.0,11,,0.0,
167.0,11,,0.0,
168.0,11,,0.0,
169.0,11,,0.0,
170.0,11,,0.0,
171.0,11,,0.0,
172.0,11,,0.0,
173.0,11,,0.0,
174.0,11,,0.0,
175.0,11,,0.0,
176.0,11,,0.0,
177.0,11,,0.0,
178.0,11,,0.0,
179.0,11,,0.0,
180.0,11,,0.0,
181.0,11,,0.0,
182.0,11,,0.0,
183.0,11,,0.0,
184.0,11,,0.0,
185.0,11,,0.0,
186.0,11,,0.0,
187.0,11,,0.0,
188.0,11,,0.0,
189.0,11,,0.0,
190.0,11,,0.0,
191.0,11,,0.0,
192.0,11,0.0,1.0,126.4911064067352
193.0,11,0.0,1.0,126.4911064067352
194.0,11,0.0,1.0,126.4911064067352
195.0,11,,0.0,
196.0,11,,0.0,
197.0,11,,0.0,
198.0,11,,0.0,
199.0,11,,0.0,
200.0,11,,0.0,
201.0,11,,0.0,
202.0,11,,0.0,
203.0,11,,0.0,
204.0,11,,0.0,
205.0,11,,0.0,
206.0,11,,0.0,
207.0,11,,0.0,
208.0,11,,0.0,
209.0,11,,0.0,
210.0,11,,0.0,
211.0,11,,0.0,
212.0,11,,0.0,
213.0,11,,0.0,
214.0,11,,0.0,
215.0,11,,0.0,
216.0,11,,0.0,
217.0,11,,0.0,
218.0,11,,0.0,
219.0,11,,0.0,
220.0,11,,0.0,
221.0,11,,0.0,
222.0,11,,0.0,
223.0,11,,0.0,
224.0,11,,0.0,
225.0,11,,0.0,
226.0,11,,0.0,
227.0,11,,0.0,
228.0,11,,0.0,
229.0,11,,0.0,
230.0,11,,0.0,
231.0,11,,0.0,
232.0,11,,0.0,
233.0,11,,0.0,
234.0,11,,0.0,
235.0,11,,0.0,
236.0,11,,0.0,
237.0,11,,0.0,
238.0,11,,0.0,
239.0,11,,0.0,
240.0,11,,0.0,
241.0,11,,0.0,
242.0,11,,0.0,
243.0,11,,0.0,
244.0,11,,0.0,
245.0,11,,0.0,
246.0,11,,0.0,
247.0,11,,0.0,
