,Comb,Delay,Width,Sig
1.0,00,,0.0,
2.0,00,,0.0,
3.0,00,,0.0,
4.0,00,,0.0,
5.0,00,,0.0,
6.0,00,,0.0,
7.0,00,,0.0,
8.0,00,,0.0,
9.0,00,,0.0,
10.0,00,0.1050625,26.0,8.912837265126894
11.0,00,0.10575,9.0,7.740750650170909
12.0,00,0.10575,4.0,12.141446754076073
13.0,00,-0.104625,394.0,3.954480789478239
14.0,00,0.0,1.0,116.29354740008186
15.0,00,,0.0,
16.0,00,,0.0,
17.0,00,,0.0,
18.0,00,,0.0,
19.0,00,,0.0,
20.0,00,,0.0,
21.0,00,,0.0,
22.0,00,,0.0,
23.0,00,,0.0,
24.0,00,,0.0,
25.0,00,0.10075,11.0,14.907775809264045
26.0,00,0.099625,212.0,4.786861335802707
27.0,00,0.1100625,47.0,6.542104944646358
28.0,00,0.1135,134.0,5.135867616601454
29.0,00,0.0935,130.0,5.388928947908115
30.0,00,0.12475,57.0,5.969867333385447
31.0,00,0.1085625,207.0,4.931589019831447
32.0,00,-0.0239375,131.0,5.125598136112072
33.0,00,,0.0,
34.0,00,,0.0,
35.0,00,,0.0,
36.0,00,,0.0,
37.0,00,,0.0,
38.0,00,,0.0,
39.0,00,,0.0,
40.0,00,0.088,2.0,12.613943214774018
41.0,00,,0.0,
42.0,00,,0.0,
43.0,00,,0.0,
44.0,00,,0.0,
45.0,00,0.10275,1.0,18.5424009470362
46.0,00,0.0881875,48.0,7.528717894260444
47.0,00,0.088125,4.0,10.189455695473466
48.0,00,,0.0,
49.0,00,,0.0,
50.0,00,,0.0,
51.0,00,,0.0,
52.0,00,,0.0,
53.0,00,,0.0,
54.0,00,,0.0,
55.0,00,,0.0,
56.0,00,,0.0,
57.0,00,,0.0,
58.0,00,,0.0,
59.0,00,,0.0,
60.0,00,,0.0,
61.0,00,,0.0,
62.0,00,,0.0,
63.0,00,,0.0,
64.0,00,,0.0,
65.0,00,,0.0,
66.0,00,,0.0,
67.0,00,,0.0,
68.0,00,,0.0,
69.0,00,,0.0,
70.0,00,,0.0,
71.0,00,,0.0,
72.0,00,,0.0,
73.0,00,,0.0,
74.0,00,,0.0,
75.0,00,,0.0,
76.0,00,,0.0,
77.0,00,,0.0,
78.0,00,,0.0,
79.0,00,,0.0,
80.0,00,,0.0,
81.0,00,,0.0,
82.0,00,,0.0,
83.0,00,,0.0,
84.0,00,,0.0,
85.0,00,,0.0,
86.0,00,,0.0,
87.0,00,,0.0,
88.0,00,,0.0,
89.0,00,,0.0,
90.0,00,,0.0,
91.0,00,,0.0,
92.0,00,,0.0,
93.0,00,,0.0,
94.0,00,,0.0,
95.0,00,,0.0,
96.0,00,-0.463125,234.0,4.5776153060973375
97.0,00,0.0589375,77.0,6.039183394936274
98.0,00,0.0789375,30.0,7.313122194497374
99.0,00,0.0,46.0,5.951340854970245
100.0,00,,0.0,
101.0,00,,0.0,
102.0,00,,0.0,
103.0,00,,0.0,
104.0,00,,0.0,
105.0,00,,0.0,
106.0,00,,0.0,
107.0,00,,0.0,
108.0,00,,0.0,
109.0,00,,0.0,
110.0,00,,0.0,
111.0,00,,0.0,
112.0,00,,0.0,
113.0,00,,0.0,
114.0,00,,0.0,
115.0,00,,0.0,
116.0,00,,0.0,
117.0,00,,0.0,
118.0,00,,0.0,
119.0,00,,0.0,
120.0,00,,0.0,
121.0,00,,0.0,
122.0,00,,0.0,
123.0,00,,0.0,
124.0,00,,0.0,
125.0,00,,0.0,
126.0,00,,0.0,
127.0,00,,0.0,
128.0,00,,0.0,
129.0,00,,0.0,
130.0,00,,0.0,
131.0,00,,0.0,
132.0,00,,0.0,
133.0,00,,0.0,
134.0,00,,0.0,
135.0,00,,0.0,
136.0,00,,0.0,
137.0,00,,0.0,
138.0,00,,0.0,
139.0,00,,0.0,
140.0,00,,0.0,
141.0,00,,0.0,
142.0,00,,0.0,
143.0,00,,0.0,
144.0,00,,0.0,
145.0,00,,0.0,
146.0,00,,0.0,
147.0,00,,0.0,
148.0,00,,0.0,
149.0,00,,0.0,
150.0,00,,0.0,
151.0,00,,0.0,
152.0,00,0.1011875,32.0,7.303773377121688
153.0,00,0.0925,78.0,6.1046291748952255
154.0,00,0.095125,5.0,12.645089094632102
155.0,00,0.0853125,230.0,4.4590829724739125
156.0,00,0.0,1.0,75.55736644115365
157.0,00,,0.0,
158.0,00,,0.0,
159.0,00,,0.0,
160.0,00,,0.0,
161.0,00,,0.0,
162.0,00,,0.0,
163.0,00,,0.0,
164.0,00,,0.0,
165.0,00,,0.0,
166.0,00,,0.0,
167.0,00,,0.0,
168.0,00,,0.0,
169.0,00,,0.0,
170.0,00,,0.0,
171.0,00,,0.0,
172.0,00,0.0956875,7.0,13.33243863583138
173.0,00,0.095625,1.0,25.025923883505445
174.0,00,0.0955625,18.0,7.402179100408661
175.0,00,0.095625,1.0,27.53899115716183
176.0,00,0.095625,167.0,4.766620258528797
177.0,00,0.095625,1.0,35.13172271667599
178.0,00,0.095625,1.0,44.38290472517989
179.0,00,0.095625,1.0,40.54380122338001
180.0,00,0.0956875,2.0,18.802885711426285
181.0,00,-0.14775,191.0,4.599156222230268
182.0,00,0.0956875,1.0,31.894023745493513
183.0,00,0.0956875,1.0,17.00590446728873
184.0,00,0.0956875,2.0,17.993350753419044
185.0,00,0.0956875,1.0,33.80609369124766
186.0,00,0.09575,1.0,21.70609920343632
187.0,00,0.0956875,1.0,39.47165736294889
188.0,00,0.0956875,2.0,27.821079404807104
189.0,00,0.09575,1.0,23.273915662613913
190.0,00,0.09575,1.0,50.79724015377632
191.0,00,0.09575,2.0,15.089547295543307
192.0,00,0.0958125,1.0,11.635502266228007
193.0,00,0.0958125,1.0,22.006891472825696
194.0,00,0.0958125,1.0,19.07998321340914
195.0,00,0.0958125,1.0,26.386590919798657
196.0,00,0.09575,6.0,10.205720374648141
197.0,00,0.0958125,133.0,5.014400761184186
198.0,00,0.095875,1.0,14.678245209386288
199.0,00,0.095875,1.0,23.79851761761025
200.0,00,0.08725,122.0,5.244649027519756
201.0,00,-0.4313125,16.0,11.552798123079898
202.0,00,,0.0,
203.0,00,,0.0,
204.0,00,,0.0,
205.0,00,,0.0,
206.0,00,,0.0,
207.0,00,,0.0,
208.0,00,,0.0,
209.0,00,,0.0,
210.0,00,,0.0,
211.0,00,,0.0,
212.0,00,,0.0,
213.0,00,,0.0,
214.0,00,,0.0,
215.0,00,,0.0,
216.0,00,,0.0,
217.0,00,,0.0,
218.0,00,,0.0,
219.0,00,,0.0,
220.0,00,,0.0,
221.0,00,,0.0,
222.0,00,0.0,6.0,9.100879364220598
223.0,00,0.0,19.0,9.316125563807688
224.0,00,,0.0,
225.0,00,0.0974375,99.0,5.397351704306787
226.0,00,0.0759375,101.0,5.4261202745458235
227.0,00,0.0,1.0,27.523583212381226
228.0,00,,0.0,
229.0,00,,0.0,
230.0,00,,0.0,
231.0,00,,0.0,
232.0,00,,0.0,
233.0,00,,0.0,
234.0,00,,0.0,
235.0,00,,0.0,
236.0,00,,0.0,
237.0,00,,0.0,
238.0,00,,0.0,
239.0,00,0.096125,1.0,30.71948652678224
240.0,00,0.096,3.0,25.480701921574262
241.0,00,0.0961875,1.0,29.76953861438489
242.0,00,0.0961875,2.0,14.680648305954865
243.0,00,0.09625,1.0,36.43084315943336
244.0,00,0.0961875,2.0,17.796431220393327
245.0,00,0.0900625,118.0,5.177534195320534
246.0,00,0.113375,103.0,5.593085566164607
247.0,00,0.0,1.0,104.8016449746282
248.0,00,,0.0,
249.0,00,,0.0,
250.0,00,,0.0,
251.0,00,,0.0,
252.0,00,,0.0,
253.0,00,,0.0,
254.0,00,-0.471375,37.0,7.989885940566994
255.0,00,0.09625,1.0,33.068364398532985
256.0,00,0.0964375,10.0,12.489737960786758
257.0,00,0.096375,22.0,8.654231442069362
258.0,00,0.0964375,12.0,9.20695222939671
259.0,00,0.0961875,12.0,8.151848879373043
260.0,00,0.096125,2.0,17.71558392096044
261.0,00,0.0995625,194.0,4.780892060829636
262.0,00,0.096,11.0,9.070123138259019
263.0,00,0.0961875,1.0,12.403285128986994
264.0,00,0.0963125,3.0,16.8452314602134
265.0,00,0.0963125,1.0,15.37567620915841
266.0,00,0.0964375,2.0,17.342316196774547
267.0,00,0.0963125,2.0,13.754233279045387
268.0,00,0.0963125,1.0,14.03267055752102
269.0,00,0.0963125,1.0,19.314165577146635
270.0,00,0.0973125,46.0,6.6644489650184795
271.0,00,0.0963125,4.0,16.435201781487407
272.0,00,0.0963125,1.0,16.060979750878744
273.0,00,0.0963125,1.0,18.101581106864177
274.0,00,0.0963125,1.0,12.837742660069932
275.0,00,0.096375,3.0,13.49654943765958
276.0,00,0.0963125,1.0,32.28952762098859
277.0,00,0.0964375,3.0,17.456955884820967
278.0,00,0.0964375,2.0,13.821282354085186
279.0,00,-0.00975,297.0,4.318359004614213
280.0,00,0.4904375,57.0,8.459967649439994
281.0,00,,0.0,
282.0,00,,0.0,
283.0,00,0.0806875,160.0,5.050162147855352
284.0,00,0.0,1.0,8.121815863799407
285.0,00,,0.0,
286.0,00,,0.0,
